xyz_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,ClickThroughRate,ConversionRate,CostPerClick,CostPerConversion,Conversion_Value,ROAS,CostPerMille,RevenuePerMille,isFree,Free
campaign_c,3.0,2,10,1194718,141,254.049996,28,14,0.011801948242179327,0.5,1.8017730212765957,18.146428285714286,1400,5.510726321759123,0.21264431941261452,1.1718246481596493,0,Paid
campaign_c,3.0,2,10,637648,67,122.4,13,5,0.010507364564775551,0.38461538461538464,1.826865671641791,24.48,500,4.084967320261438,0.1919554362281384,0.7841316839384739,0,Paid
campaign_c,3.0,2,10,24362,0,0.0,1,1,0.0,1.0,0.0,0.0,100,0.0,0.0,4.10475330432641,1,Free
campaign_c,3.0,2,10,459690,50,86.33000112,5,2,0.010876895299005852,0.4,1.7266000224000002,43.16500056,200,2.3166917341052384,0.1878004766690596,0.43507581196023404,0,Paid
campaign_c,3.0,2,10,750060,86,161.9099991,11,2,0.01146574940671413,0.18181818181818182,1.8826744081395348,80.95499955,200,1.235254160408429,0.21586272978161744,0.26664533503986343,0,Paid
campaign_c,3.0,2,15,30068,1,1.820000052,1,0,0.0033257948649727284,0.0,1.820000052,0.0,0,0.0,0.060529468271916985,0.0,0,Paid
campaign_c,3.0,2,15,1267550,123,236.7699986,24,10,0.009703759220543567,0.4166666666666667,1.924959338211382,23.676999860000002,1000,4.223508070756056,0.18679341927340143,0.7889235138653308,0,Paid
campaign_c,3.0,2,15,3052003,340,639.9499981,60,17,0.011140224960460392,0.2833333333333333,1.8822058767647059,37.64411753529412,1700,2.6564575436319546,0.20968196889059415,0.5570112480230196,0,Paid
campaign_c,3.0,2,15,29945,1,1.590000033,2,1,0.0033394556687259976,0.5,1.590000033,1.590000033,100,62.89308045567821,0.053097346234763726,3.3394556687259978,0,Paid
campaign_c,3.0,2,15,357856,30,52.97000015,7,3,0.008383260305821335,0.42857142857142855,1.7656666716666665,17.656666716666667,300,5.663583144241317,0.14802043321894842,0.8383260305821336,0,Paid
campaign_c,3.0,2,16,2080666,202,360.1500015,40,21,0.009708429896965683,0.525,1.7829207995049503,17.150000071428572,2100,5.830903765802151,0.17309361593835818,1.009292217011284,0,Paid
campaign_c,3.0,2,16,145999,9,16.5200001,5,2,0.006164425783738245,0.4,1.8355555666666667,8.26000005,200,12.106537456982219,0.11315146062644266,1.3698723963862767,0,Paid
campaign_c,3.0,2,16,32616,1,1.539999962,2,0,0.00306597988717194,0.0,1.539999962,0.0,0,0.0,0.04721608909737553,0.0,0,Paid
campaign_c,3.0,2,16,984521,95,163.8999972,26,14,0.00964936248185666,0.5384615384615384,1.7252631284210527,11.707142657142857,1400,8.54179392261759,0.16647689302716753,1.4220113131157182,0,Paid
campaign_c,3.0,2,18,880814,123,210.3600006,6,2,0.013964355698251843,0.3333333333333333,1.7102439073170732,105.1800003,200,0.9507510906519744,0.23882454252543672,0.2270626942805178,0,Paid
campaign_c,3.0,2,18,182452,20,35.73000026,4,1,0.010961787209786683,0.25,1.786500013,35.73000026,100,2.798768521475516,0.19583232992787142,0.5480893604893342,0,Paid
campaign_c,3.0,2,18,894911,120,215.8399994,7,4,0.013409154653367766,0.5714285714285714,1.7986666616666667,53.95999985,400,1.8532246159744938,0.2411859943614505,0.4469718217789255,0,Paid
campaign_c,3.0,2,18,31349,2,3.800000072,1,0,0.006379788828989761,0.0,1.900000036,0.0,0,0.0,0.12121599004752943,0.0,0,Paid
campaign_c,3.0,2,19,410310,55,96.80000055,3,0,0.01340449903731325,0.0,1.76000001,0.0,0,0.0,0.2359191843971631,0.0,0,Paid
campaign_c,3.0,2,19,572450,89,157.329998,7,4,0.015547209363263169,0.5714285714285714,1.7677527865168539,39.3324995,400,2.5424267786490407,0.2748362267446939,0.6987509826185694,0,Paid
campaign_c,3.0,2,19,98759,15,26.56999946,1,1,0.015188489150355918,1.0,1.7713332973333331,26.56999946,100,3.763643283115069,0.26903876568211504,1.012565943357061,0,Paid
campaign_c,3.0,2,19,345371,54,93.08999991,7,3,0.015635360235804394,0.42857142857142855,1.7238888872222222,31.029999970000002,300,3.2226877246754957,0.26953623758219425,0.8686311242113554,0,Paid
campaign_c,3.0,2,20,323899,46,78.9200002,5,1,0.014201958017777148,0.2,1.7156521782608696,78.9200002,100,1.2671059268446376,0.24365620208768785,0.30873821777776406,0,Paid
campaign_c,3.0,2,20,399199,58,103.1500002,3,0,0.014529094511759799,0.0,1.7784482793103447,0.0,0,0.0,0.2583924313437659,0.0,0,Paid
campaign_c,3.0,2,20,171202,22,36.53000021,3,1,0.01285031716919195,0.3333333333333333,1.6604545549999998,36.53000021,100,2.7374760313476605,0.21337367676779476,0.5841053258723613,0,Paid
campaign_c,3.0,2,20,128386,15,28.85000002,2,1,0.011683516894365429,0.5,1.9233333346666666,28.85000002,100,3.466204503662943,0.22471297509074198,0.7789011262910287,0,Paid
campaign_c,3.0,2,20,1034284,152,257.7099986,20,9,0.01469615695495628,0.45,1.6954605171052632,28.63444428888889,900,3.4922975627225044,0.2491675387031028,0.8701671881224112,0,Paid
campaign_c,3.0,2,20,45923,5,7.220000148,2,0,0.010887790431809768,0.0,1.4440000296,0.0,0,0.0,0.15721969705811903,0.0,0,Paid
campaign_c,3.0,2,21,40873,4,7.899999976,2,1,0.009786411567538473,0.5,1.974999994,7.899999976,100,12.658227886556642,0.19328162787170014,2.446602891884618,0,Paid
campaign_c,3.0,2,21,286553,34,62.06000042,2,1,0.01186516979406951,0.5,1.82529413,62.06000042,100,1.6113438498748884,0.21657424776568385,0.348975582178515,0,Paid
campaign_c,3.0,2,21,20618,1,2.099999905,2,1,0.004850130953535745,0.5,2.099999905,2.099999905,100,47.619049773242736,0.10185274541662624,4.8501309535357455,0,Paid
campaign_c,3.0,2,21,83591,7,14.14000046,2,2,0.008374107260350995,1.0,2.0200000657142856,7.07000023,200,14.144271109875199,0.16915697216207487,2.3926020743859984,0,Paid
campaign_c,3.0,2,21,114923,12,23.73000026,4,2,0.010441774057412354,0.5,1.9775000216666667,11.86500013,200,8.42814992872655,0.20648608424771367,1.7402956762353923,0,Paid
campaign_c,3.0,2,22,25002,1,1.710000038,1,0,0.003999680025597952,0.0,1.710000038,0.0,0,0.0,0.0683945299576034,0.0,0,Paid
campaign_c,3.0,2,22,68905,5,9.440000057,1,0,0.007256367462448299,0.0,1.8880000114000002,0.0,0,0.0,0.13700021851824976,0.0,0,Paid
campaign_c,3.0,2,22,169588,16,27.79999924,1,0,0.00943462980871288,0.0,1.7374999525,0.0,0,0.0,0.16392668844493713,0.0,0,Paid
campaign_c,3.0,2,22,328991,35,67.65000057,5,2,0.010638588897568626,0.4,1.9328571591428572,33.825000285,200,2.9563931753858963,0.20562872713843236,0.6079193655753501,0,Paid
campaign_c,3.0,2,23,23198,2,2.980000019,1,0,0.008621432882145013,0.0,1.4900000095,0.0,0,0.0,0.1284593507629968,0.0,0,Paid
campaign_c,3.0,2,23,26890,2,3.24000001,1,0,0.007437709185570845,0.0,1.620000005,0.0,0,0.0,0.12049088917813314,0.0,0,Paid
campaign_c,3.0,2,23,221695,31,52.26000011,5,2,0.013983175082884144,0.4,1.6858064551612904,26.130000055,200,3.827018744336547,0.23572926818376597,0.9021403279280092,0,Paid
campaign_c,3.0,2,24,88443,7,13.0400002,1,1,0.007914702124532184,1.0,1.8628571714285713,13.0400002,100,7.668711538823443,0.14743959612405733,1.1306717320760262,0,Paid
campaign_c,3.0,2,24,187856,23,38.38999975,5,1,0.012243420492291969,0.2,1.6691304239130436,38.38999975,100,2.6048450286848466,0.20435865636444936,0.5323226300996509,0,Paid
campaign_c,3.0,2,25,570699,80,138.7699997,9,2,0.014017897350442177,0.2222222222222222,1.73462499625,69.38499985,200,1.4412336991595454,0.24315795138943647,0.3504474337610544,0,Paid
campaign_c,3.0,2,25,1063508,145,260.3800013,23,7,0.013634124049842596,0.30434782608695654,1.7957241468965517,37.19714304285714,700,2.688378510273861,0.24483125778085357,0.6581990920613667,0,Paid
campaign_c,3.0,2,25,50523,6,8.549999952,1,0,0.011875779348019715,0.0,1.424999992,0.0,0,0.0,0.1692298547592186,0.0,0,Paid
campaign_c,3.0,2,26,87935,9,15.63000023,1,0,0.010234832546767499,0.0,1.7366666922222223,0.0,0,0.0,0.17774492784443055,0.0,0,Paid
campaign_c,3.0,2,26,278225,33,60.19999957,3,0,0.011860903944649115,0.0,1.8242424112121214,0.0,0,0.0,0.21637164011142063,0.0,0,Paid
campaign_c,3.0,2,26,209461,20,34.19000006,1,0,0.009548316870443663,0.0,1.709500003,0.0,0,0.0,0.16322847718668393,0.0,0,Paid
campaign_c,3.0,2,26,26316,2,3.24000001,3,0,0.007599939200486396,0.0,1.620000005,0.0,0,0.0,0.12311901542787657,0.0,0,Paid
campaign_c,3.0,2,27,41030,3,5.140000105,2,1,0.0073117231294175,0.5,1.7133333683333334,5.140000105,100,19.455252520855733,0.12527419217645627,2.4372410431391662,0,Paid
campaign_c,3.0,2,27,876671,120,216.5599982,22,4,0.013688145267723011,0.18181818181818182,1.8046666516666667,54.13999955,400,1.8470631849127896,0.24702539287828618,0.45627150892410034,0,Paid
campaign_c,3.0,2,27,399392,53,93.07000041,5,0,0.013270170659402291,0.0,1.7560377435849057,0.0,0,0.0,0.2330292054172342,0.0,0,Paid
campaign_c,3.0,2,27,283858,30,56.05999923,1,0,0.01056866461399714,0.0,1.8686666410000001,0.0,0,0.0,0.19749311004093598,0.0,0,Paid
campaign_c,3.0,2,27,260699,31,54.09999871,5,2,0.011891108136203055,0.4,1.7451612487096775,27.049999355,200,3.69685775913025,0.20751901123517927,0.7671682668518099,0,Paid
campaign_c,3.0,2,28,57781,5,7.800000072,2,1,0.008653363562416711,0.5,1.5600000144,7.800000072,100,12.820512702169626,0.13499247281978505,1.7306727124833423,0,Paid
campaign_c,3.0,2,28,38757,3,5.220000029,1,0,0.007740537193281214,0.0,1.7400000096666668,0.0,0,0.0,0.13468534791134507,0.0,0,Paid
campaign_c,3.0,2,28,1392288,206,358.5500029,31,7,0.014795789376910524,0.22580645161290322,1.740533994660194,51.22142898571428,700,1.9523078910564975,0.2575257438834494,0.5027695419338527,0,Paid
campaign_c,3.0,2,28,1109387,159,280.9899995,13,2,0.014332239335777326,0.15384615384615385,1.7672327012578617,140.49499975,200,0.7117691033698158,0.25328402036439945,0.18027974007267078,0,Paid
campaign_c,3.0,2,29,581281,65,115.1200008,10,5,0.011182199314961266,0.5,1.7710769353846154,23.02400016,500,4.343293923952093,0.19804535293601544,0.8601691780739436,0,Paid
campaign_c,3.0,2,29,1048861,128,219.770002,22,8,0.012203714314861551,0.36363636363636365,1.716953140625,27.47125025,800,3.6401692347438757,0.2095320562019181,0.7627321446788469,0,Paid
campaign_c,3.0,2,29,297452,30,52.01999986,4,1,0.010085660879738579,0.25,1.7339999953333334,52.01999986,100,1.9223375676495051,0.1748853591840028,0.336188695991286,0,Paid
campaign_c,3.0,2,29,227925,22,35.30999994,22,12,0.009652297905012614,0.5454545454545454,1.6049999972727271,2.942499995,1200,33.98470693965116,0.15491938111220796,5.2648897663705165,0,Paid
campaign_c,3.0,2,29,374175,38,63.32000101,8,3,0.010155675820137636,0.375,1.6663158160526315,21.10666700333333,300,4.737839469595422,0.16922563241798624,0.8017638805371818,0,Paid
campaign_c,3.0,2,30,223586,32,54.24000037,1,0,0.014312166235810829,0.0,1.6950000115625,0.0,0,0.0,0.24259121935183775,0.0,0,Paid
campaign_c,3.0,2,30,283170,39,65.22999996,2,1,0.013772645407352473,0.5,1.6725641015384616,65.22999996,100,1.533036947130484,0.23035632291556307,0.3531447540346788,0,Paid
campaign_c,3.0,2,30,41636,3,4.210000038,1,0,0.00720530310308387,0.0,1.4033333460000001,0.0,0,0.0,0.1011144211259487,0.0,0,Paid
campaign_c,3.0,2,30,198658,30,48.60999978,8,1,0.01510132992378862,0.125,1.6203333260000001,48.60999978,100,2.0571898879362633,0.24469188142435744,0.5033776641262875,0,Paid
campaign_c,3.0,2,31,100596,10,13.91999972,4,2,0.009940753111455723,0.5,1.391999972,6.95999986,200,14.367816380961823,0.1383752805280528,1.988150622291145,0,Paid
campaign_c,3.0,2,31,64020,5,11.0599997,1,0,0.0078100593564511085,0.0,2.21199994,0.0,0,0.0,0.17275850827866293,0.0,0,Paid
campaign_c,3.0,2,31,14289,0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Free
campaign_c,3.0,2,32,404866,43,87.42000079,4,0,0.010620797992422184,0.0,2.033023274186047,0.0,0,0.0,0.2159232950902274,0.0,0,Paid
campaign_c,3.0,2,32,22256,1,1.659999967,1,1,0.004493170381020849,1.0,1.659999967,1.659999967,100,60.240965052983036,0.07458662684219985,4.493170381020848,0,Paid
campaign_c,3.0,2,32,57690,4,6.74000001,1,0,0.006933610677760443,0.0,1.6850000025,0.0,0,0.0,0.11683134009360374,0.0,0,Paid
campaign_c,3.0,2,36,24952,5,8.220000267,3,2,0.020038473869830074,0.6666666666666666,1.6440000533999999,4.1100001335,200,24.330899452998764,0.32943252112055144,8.01538954793203,0,Paid
campaign_c,3.0,2,36,38900,3,5.580000043,1,0,0.007712082262210797,0.0,1.8600000143333333,0.0,0,0.0,0.1434447311825193,0.0,0,Paid
campaign_c,3.0,2,36,53520,6,9.2299999,1,1,0.011210762331838564,1.0,1.5383333166666666,9.2299999,100,10.834236303729538,0.17245889200298953,1.8684603886397608,0,Paid
campaign_c,3.0,2,36,181683,20,34.22999972,2,1,0.011008184585239125,0.5,1.7114999860000002,34.22999972,100,2.9214139882557966,0.1884050776352218,0.5504092292619562,0,Paid
campaign_c,3.0,2,36,29185,2,3.149999976,1,0,0.00685283536063046,0.0,1.574999988,0.0,0,0.0,0.10793215610758952,0.0,0,Paid
campaign_c,3.0,2,36,105047,13,20.2099994,3,1,0.01237541291041153,0.3333333333333333,1.5546153384615384,20.2099994,100,4.948045668917733,0.19239006730320712,0.9519548392624254,0,Paid
campaign_c,3.0,2,63,287976,31,59.43999982,3,2,0.010764785954385087,0.6666666666666666,1.917419349032258,29.71999991,200,3.364737560660376,0.20640608877128647,0.6945023196377477,0,Paid
campaign_c,3.0,2,63,212175,22,38.58999968,2,1,0.010368799340167314,0.5,1.7540908945454545,38.58999968,100,2.591344929495475,0.18187816509956403,0.4713090609166961,0,Paid
campaign_c,3.0,2,63,11139,0,0.0,1,1,0.0,1.0,0.0,0.0,100,0.0,0.0,8.977466558937069,1,Free
campaign_c,3.0,2,63,124005,11,21.84999979,4,1,0.008870610056046127,0.25,1.986363617272727,21.84999979,100,4.576659082887799,0.17620257078343615,0.8064190960041934,0,Paid
campaign_c,3.0,2,63,20423,1,1.960000038,1,0,0.0048964402879106885,0.0,1.960000038,0.0,0,0.0,0.09597023150369682,0.0,0,Paid
campaign_c,3.0,2,64,103001,14,22.32000005,1,0,0.013592101047562644,0.0,1.594285717857143,0.0,0,0.0,0.21669692575800234,0.0,0,Paid
campaign_c,3.0,2,64,447420,66,110.2399991,7,2,0.014751240445219258,0.2857142857142857,1.6703030166666668,55.11999955,200,1.8142235271480511,0.24639041415225071,0.44700728621876534,0,Paid
campaign_c,3.0,2,64,156101,19,29.75000048,2,2,0.012171606844286711,1.0,1.5657894989473684,14.87500024,200,6.722688967163338,0.19058174182100052,1.2812217730828117,0,Paid
campaign_c,3.0,2,64,93015,12,18.47000015,1,0,0.012901144976616674,0.0,1.5391666791666667,0.0,0,0.0,0.19857012471106814,0.0,0,Paid
